site	src_line	quote
RULE 1	12	The organization shall deal with nonconforming outputs in one or more of the following ways: a) correction; b) segregation, containment, return or suspension of provision of products and services; c) informing the customer; d) obtaining authorization for acceptance under concession.
RULE 1	21	The organization shall retain documented information that: a) describes the nonconformity; b) describes the actions taken; c) describes any concessions obtained; d) identifies the authority deciding the action in respect of the nonconformity.
RULE 1	12	The organization shall obtain customer authorization prior to further processing for "use as is" and rework dispositions of nonconforming product.
RULE 1	20	The organization shall ensure that product with unidentified or suspect status is classified and controlled as nonconforming product. The organization shall ensure that all appropriate manufacturing personnel receive training for containment of suspect and nonconforming product.
RULE 1	23	The organization shall utilize risk analysis (such as FMEA) methodology to assess risks in the rework process prior to a decision to rework the product.
RULE 1	46	The organization shall have a documented process for disposition of nonconforming product not eligible for rework or repair. For product not meeting requirements, the organization shall verify that the product to be scrapped is rendered unusable prior to disposal.
